COD_ID;CLASSE;QTD_CLIENTES;SOMA_CAR_INST;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12
VPA;RESIDENCIAL;25130;9046.549999999901;2474255.8799999994;2510890.649999978;2661705.0;2872681.970000041;3500620.7800000147;3323789.830000045;3755790.4700000817;2564347.2900000247;2878697.4;2730064.5900000003;2798926.9000000777;2979642.5999999996
VPA;COMERCIAL;1655;5001.429999999995;816026.2;832168.26;747125.43;1006653.29;970171.09;1007662.8099999999;1002134.16;939762.51;881087.26;904729.53;915738.07;867890.6999999993
ZSL;RESIDENCIAL;33747;17461.33000000068;3827103.2;3979180.3800000325;4703025.069999998;5899133.7000001995;7192363.199999821;6820225.97999997;7238195.179999903;4562110.720000134;4648913.2;4479828.079999947;4576366.440000157;4740386.6
VPA;INDUSTRIAL;76;2091.33;368034.65;389892.08;396752.18000000005;427945.91;447048.15;403354.19;436291.53;415509.20999999996;403010.28;364915.18999999994;356749.31999999995;363859.05
TRM;RESIDENCIAL;6226;1762.439999999979;495542.81000000006;491636.6499999998;504185.0;613991.1799999952;771706.9000000025;710988.3899999893;840866.0000000057;599858.7200000021;665731.0;634129.9999999971;649284.519999998;668223.0
TRM;COMERCIAL;437;305.42000000000013;78062.0;96270.0;104579.0;158152.2;139487.59999999998;154838.40000000002;146631.4;138552.6;137850.2;135847.0;127933.0;115921.85000000018
TRM;RURAL;1434;602.3500000000006;151740.98000000016;139315.0;160281.0;222415.0;228515.28000000023;216513.0;205541.0;194626.0;179293.0;188843.0;189933.0;181662.0
BRL;RURAL;1190;489.38000000000034;123048.93000000036;111559.0;124172.0;164915.0;174341.34000000058;169749.0;156454.0;157303.0;152791.0;159583.0;163132.0;157833.0
BRL;RESIDENCIAL;1429;327.6900000000001;101524.23999999999;101363.90000000029;102621.0;125489.07999999957;152590.59999999966;142150.73000000045;167341.89999999967;121504.98999999992;135136.4;129486.82000000103;131677.65999999995;137854.6
MAC;RESIDENCIAL;38772;15774.890000000627;4793178.0;5149001.350000349;5543644.099999999;5416149.4500002675;6657842.1699997755;6288152.119999651;7781775.529999536;4962060.11000001;4977143.11;4779087.779999878;4725060.250000061;4926221.02
MAC;COMERCIAL;3141;23808.96000000001;3015511.1799999997;3240992.1600000006;3822389.6899999995;3996318.6399999997;4109721.790000001;3959406.2199999997;4316381.94;3799152.3999999994;3697805.5299999993;3502595.95;3476407.4899999998;3381324.9400000037
MAC;PODER_PUBLICO;244;6923.05;419754.08999999997;445325.48;533927.4;616321.3;665738.02;701915.49;692229.65;605805.6799999999;537494.13;479612.2800000002;516280.88;496442.89999999997
MAC;INDUSTRIAL;30;23477.28;1266981.1600000001;1486864.02;1414417.4100000001;1623579.05;1520923.4200000002;1524029.6;1504368.3599999999;1478631.82;1294176.56;1260052.8;1297575.14;1248391.63
