SUB_MAE;SUB_FILHA;DISTRIBUIDORA;MAE;FILHA
QUANTA_FAG;FAG;ENEL;QUANTA G - FAGUNDES;Fagundes
PIB;QUANTA_PIB;ENEL;Piabanha;QUANTA G - PIABANHA
UTC;US.CAMPOS;ENEL;Usina de Campos;FURNAS CENTRAIS ELETRICAS-UTE R SILVEIRA
MBU;QUANTA_MBU;ENEL;Macabu;QUANTA G - MACABU
BJD;PCH-S.ANT;ENEL;Bom Jardim;ENERGISA GERACAO RIO GRANDE S/A - PCH STO ANTONI
VEROLME;DELPORTON;ENEL;BRASFELS S/A (VEROLME);DELPORTON NAVEGACAO E PARTICIPACOES LTDA
133869814;10385970;LIGHT;SE RESERVA TECNICA;SETD SANTO ANTONIO
10386114;10386015;LIGHT;SETD MACKENZIE;SETD CAMERINO
18521334;51051566;LIGHT;SESD POSSE;SETD ILHA DOS POMBOS
18521262;449886789;LIGHT;SESD COTRIL;SETD INFLUENCIA
484023983;10386060;LIGHT;SETR METRO BARRA;SETD SÃO CONRADO
10386033;275730622;LIGHT;SETD LEOPOLDO;SETR PAULA BRITO
10385907;345834478;LIGHT;SETD BARRA;SETD BARRA 2
10386042;453768618;LIGHT;SETD CURICICA;SETR GLOBO
18521136;18520695;LIGHT;SETD SANTISSIMO;SESD CAMPINA
473714081;284879469;LIGHT;SETD AIR LIQUIDE - MESSER;SETD BAYER
289385542;1195;LIGHT;SETR LINS;SETD BOCA DO MATO
279436352;10385979;LIGHT;SETR  BONFIM;SETD URUGUAI
