LATITUDE,LONGITUDE
-22.834439,-43.362977
-22.899887,-43.682116
-22.930905,-43.1148
-22.856144,-42.293314
-22.847855,-42.28438
-22.687504,-43.596069
-22.459259,-43.476103
-22.685212,-42.015776
-22.842602,-42.071741
-21.750157,-41.187723
-22.935465,-43.651844
-22.619772,-43.192691
-22.877863,-43.408094
-22.824644,-43.414193
-22.939282,-43.333486
-22.772014,-41.90116
-20.962277,-42.043377
-22.925742,-43.35511
-22.745096,-42.8379
-22.766755,-43.347295
-22.982907,-43.194105
-22.529618,-44.117951
-22.815129,-43.357385
-22.262854,-43.368214
-22.945416,-43.021953
-22.895277,-43.602713
-22.99609,-43.616762
-22.495343,-44.107967
-22.854083,-43.081816
-22.939341,-43.333125
-22.098199,-43.211782
-22.871434,-43.411789
-22.232567,-42.019549
-22.984166,-43.227503
-22.846456,-43.255284
-22.805137,-43.417219
-23.00944,-43.329974
-22.865533,-42.115175
-21.406195,-42.098239
-22.924159,-43.617645
-22.467678,-43.825362
-22.920503,-43.937181
-22.933715,-43.24725
-22.762389,-42.265285
-22.83663,-42.10206
-22.856992,-43.24464
-22.914057,-42.841902
-21.894533,-41.162572
-22.492397,-42.198836
-22.388226,-41.782472
-23.188184,-44.728392
-22.939538,-43.387845
-22.948486,-43.182623
-22.655452,-43.230162
-22.789512,-43.43845
-22.853742,-43.32159
-22.825682,-43.41643
-22.620404,-43.179637
-22.964481,-43.172393
-22.926972,-43.201458
-22.286513,-42.531581
-22.8853,-43.296211
-21.780727,-41.274264
-22.926414,-42.04015
-22.353862,-41.791322
-22.951421,-42.697327
-22.969679,-44.294958
-22.522278,-44.139632
-22.933646,-42.754509
-22.768706,-43.346177
-22.896654,-43.272314
-22.97407,-43.190199
-22.959404,-43.201352
-22.843635,-43.084868
-22.887311,-43.233642
-22.711486,-43.337724
-21.763119,-41.325307
-22.803461,-43.427647
-22.939599,-43.658828
-22.129683,-43.648308
-22.495762,-44.139945
-22.627995,-43.897581
-22.830653,-43.373718
-22.65946,-43.152461
-22.850977,-43.274243
-22.760203,-43.275976
-22.627768,-43.89779
-21.582936,-41.061737
-22.808855,-43.359403
-22.83632,-42.318868
-22.997769,-43.389854
-22.692215,-43.25516
-22.80916,-43.329623
-22.812491,-43.204071
-22.903495,-43.591454
-22.697386,-43.300052
-22.804307,-43.400008
-22.832626,-43.081126
-22.726308,-43.518864
-22.91351,-43.694572
-22.806032,-43.646033
-22.759854,-43.304251
-22.724634,-43.574148
-22.94082,-43.023583
-22.745229,-43.523031
-22.400599,-43.008418
-22.786837,-43.025758
-21.591466,-41.81113
-22.891007,-43.281477
-22.862024,-43.070441
-22.794091,-43.291698
-22.14291,-42.912114
-22.478494,-42.634505
-23.010299,-43.330636
-22.954833,-43.192623
-22.969511,-43.187429
-22.799858,-43.321115
-22.885654,-43.553585
-22.949793,-43.375
-22.875198,-43.270893
-22.563986,-44.163234
-22.836452,-43.401214
-22.931045,-43.355514
-21.739013,-41.298152
-22.916971,-43.629555
-22.784629,-43.325936
-22.944162,-43.262037
-22.903194,-43.096153
-22.894918,-42.043229
-22.697788,-43.238112
-22.433634,-43.134741
-22.808262,-43.197805
-22.373444,-41.77769
-21.482662,-41.064982
-21.657909,-42.170829
-21.635866,-41.047101
-22.971921,-43.187306
-22.852558,-43.346512
-22.292491,-42.514875
-22.926379,-43.356015
-22.914234,-43.201662
-22.843635,-43.084868
-22.812594,-43.016556
-21.202059,-41.832084
-21.34113,-42.107423
-22.855127,-43.242806
-22.790991,-43.388171
-22.389367,-41.780246
-22.949131,-43.166098
-22.845357,-43.328686
-22.86499,-43.083044
-22.959091,-44.438721
-22.821524,-42.984485
-22.210136,-42.513425
-22.480075,-43.835037
-22.967265,-43.659567
-22.925104,-43.637398
-23.005563,-43.441653
-22.864957,-43.242365
-22.516657,-41.94069
-22.982262,-43.198537
-22.710916,-43.441311
-22.110751,-43.19452
-22.758228,-43.383148
-22.864023,-42.922065
-22.918706,-43.180525
-22.823973,-43.08082
-22.903648,-43.221479
-21.75736,-41.332529
-22.880864,-43.253026
-22.744026,-41.967001
-22.621848,-43.17983
-22.626486,-42.026183
-22.818134,-43.068083
-22.992055,-43.311917
-22.846179,-43.045846
-21.732134,-41.310013
-22.962558,-43.21812
-22.847145,-42.060679
-22.930179,-42.923142
-22.831865,-43.344678
-22.862829,-43.348244
-22.81992,-43.369275
-22.840256,-42.357522
-22.647647,-43.033845
-22.973871,-43.190147
-22.836961,-43.305462
-21.921755,-41.147375
-22.847243,-43.282972
-22.889026,-43.356921
-22.8853,-43.426024
-22.677955,-43.449454
-22.948491,-43.182773
-22.759456,-43.339356
-22.327583,-44.577783
-21.758151,-41.19224
-22.817969,-43.182858
-22.905792,-43.079951
-22.780628,-43.321521
-22.748734,-42.865873
-22.731473,-43.500034
-22.317086,-42.556648
-22.913772,-43.296051
-22.914367,-43.202596
-22.239672,-43.699224
-22.961744,-43.174376
-22.806226,-42.989548
-22.794604,-42.959722
-22.815073,-43.335846
-22.928205,-43.225388
-22.962788,-44.440955
-22.715614,-43.531196
-22.697227,-43.239039
-22.791388,-43.37683
-22.884355,-43.318311
-22.940244,-43.66598
-22.96293,-44.041197
-22.802689,-42.995927
-22.915734,-43.069178
-21.744667,-41.351358
-22.765907,-43.351787
-22.91182,-43.198319
-22.839387,-43.277827
-22.477474,-44.054412
-22.82079,-43.293492
-22.098199,-43.211782
-22.863645,-43.3511
-22.489907,-44.112713
-22.720571,-43.728391
-22.785281,-43.357856
-22.267648,-43.007764
-22.670243,-43.026343
-22.50515,-41.927936
-22.515311,-44.00605
-22.736975,-43.359189
-22.869378,-43.21733
-21.197227,-41.886232
-22.743352,-41.986586
-22.939505,-43.334086
-22.92442,-43.218766
-22.751656,-42.914899
-22.925265,-43.182725
-22.216915,-43.682852
-22.469252,-43.163035
-23.029657,-44.171249
-22.79746,-43.314474
-22.585205,-43.186937
-22.88621,-43.290343
-22.536887,-41.983842
-22.917756,-43.265571
-22.999709,-43.386621
-22.825535,-43.39048
-21.741329,-41.321537
-22.971921,-43.187306
-22.502729,-44.064144
-21.763119,-41.325307
-22.493581,-43.186182
-22.926551,-42.529441
-22.954299,-43.171282
-22.737193,-43.336675
-22.366484,-41.790877
-22.927782,-43.237351
-22.878174,-43.081079
-22.823351,-43.361078
-22.926899,-43.178993
-22.945993,-43.366939
-22.751933,-43.515705
-22.495415,-44.106061
-22.473501,-44.505505
-22.849669,-43.249124
-22.882676,-43.105076
-22.154074,-41.537217
-22.753805,-42.882248
-22.863182,-42.936579
-22.913081,-43.079901
-23.218651,-44.744494
-22.625023,-42.005181
-22.926812,-43.196078
-22.948552,-43.165222
-22.851534,-43.3054
-22.874436,-43.633142
-23.028397,-43.474759
-22.924944,-43.35555
-22.864442,-43.071355
-22.512968,-44.200327
-22.518022,-41.934366
-22.877154,-43.253784
-22.883872,-43.635226
-22.719267,-43.334687
-22.925877,-43.626675
-22.859813,-43.024865
-21.748715,-41.364056
-22.577715,-43.299591
-22.999536,-43.304466
-22.87054,-43.440777
-22.998199,-44.239266
-22.784426,-43.412513
-22.962037,-43.173927
-22.633562,-43.208056
-22.958328,-43.686778
-21.530614,-42.190091
-23.029865,-43.472592
-22.987369,-43.35508
-22.973871,-43.190147
-22.930083,-43.261309
-22.878284,-43.094224
-22.477925,-43.158268
-22.732085,-43.408867
-22.913097,-42.86866
-22.798535,-43.391206
-22.881691,-43.253461
-22.821545,-42.984415
-22.286513,-42.531581
-22.790413,-43.377468
-22.814119,-43.307536
-22.665552,-43.015854
-22.955634,-43.178815
-21.759053,-41.333202
-22.952542,-43.385621
-22.048144,-42.675887
-22.993048,-43.237938
-22.896778,-43.098988
-22.88621,-43.290343
-22.519508,-43.804056
-22.914218,-43.693502
-22.927777,-43.178038
-22.865933,-43.272395
-22.498844,-44.672848
-22.993549,-44.26508
-22.549288,-43.215676
-22.862919,-43.095303
-22.781157,-43.383662
-22.705693,-43.161336
-22.70357,-43.337633
-22.502467,-41.921144
-22.706126,-43.308353
-22.821145,-42.536145
-22.832863,-42.306067
-22.902092,-42.040531
-22.888646,-43.602498
-22.982452,-43.663667
-22.704074,-43.278834
-21.13554,-41.870496
-22.819496,-43.037064
-22.546836,-41.972528
-22.786078,-42.975864
-22.930538,-43.113147
-22.482256,-44.570901
-22.731925,-43.379121
-22.872015,-43.23822
-22.839009,-43.355219
-22.719421,-43.352527
-22.406578,-42.965186
-22.867411,-43.291264
-22.796994,-43.363855
-22.96202,-43.201184
-22.630314,-43.219613
-22.899469,-43.261377
-21.755553,-41.33296
-22.949894,-43.371161
-22.749669,-43.404001
-22.743114,-41.98646
-22.865312,-43.27122
-22.870755,-43.783741
-22.933771,-43.378703
-22.915551,-43.205352
-22.811135,-43.177687
-22.884961,-43.585647
-22.603416,-43.170537
-22.85615,-41.993067
-22.780137,-42.939745
-22.881523,-42.403532
-22.899002,-43.235214
-22.935563,-43.18949
-22.538335,-43.175337
-22.907023,-43.07153
-22.882767,-43.24582
-22.845509,-42.311026
-23.004352,-43.443116
-22.703485,-43.553502
-22.898794,-43.297185
-22.881004,-43.09254
-22.728364,-43.528216
-22.800867,-43.416991
-22.880952,-43.251916
-22.869655,-43.319711
-22.835924,-43.000356
-22.652747,-42.012636
-21.733724,-41.305016
-23.029298,-43.495275
-22.580028,-43.305362
-22.790724,-42.996861
-22.784564,-43.412196
-22.990569,-43.435354
-21.651779,-41.313683
-22.84558,-43.083345
-22.915398,-43.395842
-22.76825,-43.386175
-22.894267,-43.495438
-22.792562,-43.299771
-22.927042,-43.237418
-22.713965,-43.846469
-22.921111,-43.254835
-22.926379,-43.356015
-22.247512,-42.52487
-22.957093,-43.198881
-23.004106,-43.441838
-22.456998,-42.976895
-22.591937,-43.044969
-22.774799,-43.440493
-22.810451,-43.181072
-22.911285,-43.572058
-23.029865,-43.472592
-22.913687,-43.69373
-22.807643,-43.402488
-22.887327,-43.233978
-22.721025,-43.422701
-22.047768,-42.529287
-22.361067,-41.775675
-22.954328,-42.038435
-22.648592,-43.225308
-22.993789,-43.453877
-22.778189,-41.929061
-22.713786,-43.448447
-22.917589,-43.389712
-21.810695,-41.391529
-22.807952,-43.329376
-22.110567,-43.194098
-22.97398,-43.190533
-22.819669,-43.080251
-22.917,-43.177196
-22.712313,-43.190065
-22.978721,-43.33708
-22.964905,-43.194824
-22.839562,-43.275268
-22.748168,-43.49787
-22.989646,-44.238084
-22.971921,-43.187306
-22.82271,-43.596285
-22.870822,-43.103665
-22.93938,-43.177907
