COD_ID,1,2,3,4,5,6,7,8,OSM_INDUSTRIAL,OSM_SHOP
10385871,77009,29,3,164,127,5743,1086,299,5.0,224.0
10385880,7927,7,0,18,26,359,120,7,0.0,49.0
10385889,40264,21,0,88,466,3087,254,82,1.0,166.0
10385898,26385,52,1,51,11,3591,517,112,10.0,20.0
10385907,31697,54,0,19,53,416,276,13,2.0,74.0
10385916,79896,65,0,145,118,4779,1080,196,3.0,62.0
10385925,29477,31,0,17,34,1251,208,31,0.0,119.0
10385934,11150,22,0,33,30,578,197,16,1.0,66.0
10385943,17964,2,0,28,90,486,248,5,2.0,258.0
10385961,60396,47,1,71,452,2633,348,50,0.0,435.0
10385970,18679,75,0,33,51,3978,205,37,1.0,339.0
10385979,20512,4,0,37,22,761,72,12,0.0,69.0
10385988,28909,0,1,32,17,1306,771,82,4.0,120.0
10385997,21101,11,0,63,82,914,151,32,0.0,83.0
10386006,44548,32,0,98,271,2733,300,79,0.0,48.0
10386015,1498,20,0,26,40,1904,31,10,0.0,86.0
10386033,11727,4,0,14,8,686,121,50,2.0,7.0
10386042,3926,2,1,9,6,696,90,23,3.0,4.0
10386051,10083,6,0,36,47,2418,120,23,10.0,31.0
10386060,40156,12,0,71,26,4089,1157,168,0.0,25.0
10386069,6642,11,0,30,82,1777,49,9,1.0,246.0
10386087,40350,37,0,36,110,1985,314,30,0.0,135.0
10386096,21078,18,0,66,127,1192,169,19,0.0,90.0
10386105,33528,23,0,39,24,2497,481,106,0.0,70.0
10386114,6959,36,0,15,24,1753,162,34,5.0,36.0
1123,18618,1,0,31,7,2252,389,76,7.0,121.0
1132,34080,7,0,88,65,5625,613,115,7.0,15.0
1141,31825,13,1,52,33,1768,215,54,2.0,74.0
1150,47173,12,0,84,52,3776,953,176,2.0,23.0
1159,31802,14,1,64,28,4683,431,94,8.0,41.0
1168,14681,4,0,55,33,1858,217,60,2.0,41.0
1177,45987,36,2,91,63,3155,761,161,3.0,40.0
1186,31331,12,0,54,67,2660,548,148,1.0,72.0
1195,33489,10,0,110,93,2525,282,87,1.0,48.0
1204,10555,4,0,16,5,1237,177,30,0.0,21.0
1213,28432,16,2,87,126,1539,290,67,1.0,52.0
1222,4904,1,0,5,4,834,139,21,1.0,2.0
1231,52857,8,1,90,59,3796,787,203,3.0,42.0
1240,22033,8,0,71,66,2721,220,74,4.0,34.0
1249,26832,2,0,51,17,1838,378,136,1.0,29.0
1258,52325,10,5,135,38,5484,1781,411,20.0,54.0
1267,28544,10,1,47,19,2841,509,118,2.0,21.0
1276,51774,4,0,99,71,3745,615,212,1.0,272.0
1285,19724,4,0,35,14,1416,154,34,5.0,192.0
1294,37267,3,4,69,51,3178,586,187,6.0,18.0
1303,61539,5,2,115,31,4901,1356,369,6.0,24.0
132097219,71080,19,5,130,66,3636,1929,146,0.0,373.0
133869814,18679,75,0,33,51,3978,205,37,1.0,339.0
135613108,23116,3,8,35,8,2980,1784,275,1.0,12.0
138550225,12875,2,2,11,1,1443,853,190,0.0,2.0
152677490,39314,35,0,23,488,1934,206,31,0.0,93.0
18519958,48176,52,1,100,81,5479,1945,363,0.0,48.0
18520461,68631,18,4,182,91,7969,1478,366,2.0,114.0
18520479,97020,29,1,190,125,9585,1945,516,1.0,46.0
18520488,55111,14,5,106,34,5121,1055,303,2.0,7.0
18520497,28840,62,21,75,20,3578,932,230,0.0,1.0
18520623,16880,3,3,11,4,1256,771,119,0.0,2.0
18520695,11197,0,1,17,2,941,471,67,2.0,3.0
18520704,9948,4,4,26,12,1073,716,98,0.0,6.0
18520713,6355,3,0,10,2,530,213,36,1.0,1.0
18520740,18563,7,1,26,18,2381,1053,241,0.0,5.0
18520749,52588,26,5,168,170,7300,1065,260,5.0,56.0
18520758,35120,10,3,69,33,2776,2501,199,1.0,35.0
18520839,66382,8,2,105,30,7710,2936,530,1.0,18.0
18520911,220,1,0,0,0,43,12,5,0.0,0.0
18521136,7452,2,0,5,2,371,271,23,1.0,3.0
22183116,18524,3,4,33,6,2414,1442,245,1.0,2.0
25455230,13005,2,5,20,4,1222,671,85,2.0,18.0
25987899,17641,39,1,41,7,2407,1201,218,0.0,3.0
272870827,17798,4,0,33,10,2298,675,221,3.0,7.0
275730622,11088,2,0,18,15,613,80,24,2.0,14.0
277466374,8048,5,0,36,14,402,104,7,0.0,35.0
278601339,30804,3,1,50,22,2698,927,190,2.0,9.0
278601365,20630,15,12,39,10,2061,1163,167,1.0,4.0
279436352,7692,15,0,15,6,524,50,37,0.0,4.0
283540595,21765,20,1,45,24,1219,308,90,0.0,20.0
284879839,30451,5,2,61,23,2696,510,175,11.0,25.0
289218076,24744,3,0,33,89,2953,240,74,0.0,86.0
289308250,13439,3,3,16,6,730,568,62,1.0,1.0
289385542,14149,0,0,18,16,681,193,46,0.0,6.0
29148432,8224,0,1,3,2,408,323,46,1.0,0.0
29186320,1931,3,1,8,1,143,30,6,0.0,5.0
292112253,19232,1,1,47,35,1697,266,70,1.0,90.0
295567992,0,1,0,0,0,8,0,0,0.0,0.0
295955379,27157,2,1,38,45,3033,463,109,0.0,40.0
309720848,25385,17,0,33,17,2454,608,181,3.0,37.0
310124342,27506,0,0,39,16,4400,1141,132,4.0,33.0
