ID;NOME;CLASSIFICACAO
612835386;SETD FLORIANO PEIXOTO;4. Transporte (Sem Topologia)
18520227;SESD AUSTIN;1. Distribuição (Carga)
18520848;SESD CARMO;1. Distribuição (Carga)
277466383;SETD NILO PECANHA;4. Transporte (Sem Topologia)
660138488;SESD SANTA CRUZ;1. Distribuição (Carga)
18520236;SESD BELVEDERE;1. Distribuição (Carga)
18520380;SESD PINHEIRAL;1. Distribuição (Carga)
277466392;SETD PEREIRA PASSOS;4. Transporte (Sem Topologia)
18520389;SESD PARAPEUNA;1. Distribuição (Carga)
18520983;SESD QUATIS;1. Distribuição (Carga)
18520866;SESD FLORIANO;1. Distribuição (Carga)
18520245;SESD PARAISO;1. Distribuição (Carga)
18520398;SETD SAUDADE;2. Transformadora
18520992;SESD LIDICE;1. Distribuição (Carga)
18520875;SETD RETIRO;1. Distribuição (Carga)
18520254;SESD QUIMICA;1. Distribuição (Carga)
18520416;SESD FERREIROS;1. Distribuição (Carga)
18521010;SESD PONTE COBERTA;1. Distribuição (Carga)
18520884;SESD BARAO DE JUPARANA;1. Distribuição (Carga)
18520272;SESD IPIABAS;1. Distribuição (Carga)
10385898;SETD TROVAO;1. Distribuição (Carga)
278601339;SETD AUGUSTO VASCONCELOS;4. Transporte (Sem Topologia)
18520893;SETD QUEIMADOS;2. Transformadora
18521208;SETD BRISAMAR;2. Transformadora
18521019;SESD APARECIDA;1. Distribuição (Carga)
133869814;SE RESERVA TECNICA;2. Transformadora
18521217;SESD ASSIS RIBEIRO;1. Distribuição (Carga)
18520425;SESD TABOAS;1. Distribuição (Carga)
18521046;SESD SERRARIA;1. Distribuição (Carga)
18520902;SETD MENA BARRETO;1. Distribuição (Carga)
10385907;SETD BARRA;1. Distribuição (Carga)
18521226;SESD UNISOL;1. Distribuição (Carga)
319319016;SESD SAO LOURENCO;1. Distribuição (Carga)
18521244;SESD PARACAMBI;1. Distribuição (Carga)
278601365;SETD LAMEIRAO;4. Transporte (Sem Topologia)
50995643;SESD FRANCISCO MEDEIROS;3. Transporte (Com Topologia)
51051566;SETD ILHA DOS POMBOS;3. Transporte (Com Topologia)
18521145;SESD LAGES;1. Distribuição (Carga)
55813421;SETD LEBLON;1. Distribuição (Carga)
18521154;SETD SEROPÉDICA;1. Distribuição (Carga)
109363914;SESD LEVY;1. Distribuição (Carga)
18521163;SESD AIMORES;1. Distribuição (Carga)
132097219;SETD RECREIO;1. Distribuição (Carga)
134595522;SESD TUIUTI;1. Distribuição (Carga)
18521172;SESD PIRANEMA;1. Distribuição (Carga)
310124342;SETD FIO CRUZ;4. Transporte (Sem Topologia)
18521181;SESD COLONIAL;1. Distribuição (Carga)
310124393;SETR PAC ALEMAO;4. Transporte (Sem Topologia)
310125045;SETD OWENS ILLINOIS;4. Transporte (Sem Topologia)
18521190;SESD CAPIVARI;1. Distribuição (Carga)
310129856;SETD ITAGUAI;1. Distribuição (Carga)
18521199;SESD DUTRA;1. Distribuição (Carga)
310718139;SETD SÃO JOÃO;1. Distribuição (Carga)
289218076;SETR DEL CASTILHO;3. Transporte (Com Topologia)
289308250;SETR CARANDÁ;3. Transporte (Com Topologia)
311313391;SETD METRO COLEGIO;4. Transporte (Sem Topologia)
289385542;SETR LINS;4. Transporte (Sem Topologia)
311314060;SETD FICAP;4. Transporte (Sem Topologia)
292112253;SEMT CORDOVIL;3. Transporte (Com Topologia)
535612098;SETD OLIMPICA;2. Transformadora
540348380;SETD CONCAL;4. Transporte (Sem Topologia)
295567992;SETD CASA DA MOEDA;4. Transporte (Sem Topologia)
543045036;SETD FAB DE CAT. CARIOCA_DESATIVADA;4. Transporte (Sem Topologia)
295568076;SETD NUCLEP;4. Transporte (Sem Topologia)
543062251;SETD CARTA GOIAS_DESATIVADA;4. Transporte (Sem Topologia)
295955379;SEMT OLARIA;3. Transporte (Com Topologia)
550392038;SESD MARMELO;1. Distribuição (Carga)
309720848;SETD PROJAC;4. Transporte (Sem Topologia)
550434978;SETD METRO BOTAFOGO;4. Transporte (Sem Topologia)
550529446;SETD SUPERVIA MANGUEIRA;4. Transporte (Sem Topologia)
550452154;SETD METRO FREI CANECA;4. Transporte (Sem Topologia)
550477918;SETD CENPES;4. Transporte (Sem Topologia)
550538034;SETD SUPERVIA MADUREIRA;4. Transporte (Sem Topologia)
550486506;SETD AEROPORTO GALEAO;4. Transporte (Sem Topologia)
550555219;SETD BENFICA SUPERVIA;4. Transporte (Sem Topologia)
18520344;SESD TURVO;1. Distribuição (Carga)
550812850;SETD MICHELIN;4. Transporte (Sem Topologia)
18520353;SETD CENTENÁRIO;2. Transformadora
18520524;SESD IPIRANGA;1. Distribuição (Carga)
1249;SETD COLEGIO;1. Distribuição (Carga)
18520533;SESD MAÇAMBARA;1. Distribuição (Carga)
18520542;SESD ESTEVES;1. Distribuição (Carga)
1258;SETD GUADALUPE;1. Distribuição (Carga)
18520551;SESD JAMAPARA;1. Distribuição (Carga)
1267;SETD VIGARIO GERAL;1. Distribuição (Carga)
18520560;SESD GOVERNADOR PORTELA;1. Distribuição (Carga)
18520569;SESD BOCAINA;1. Distribuição (Carga)
550907318;SETD COMPANHIA BRASILEIRA DE BEBIDAS;4. Transporte (Sem Topologia)
322244161;SETD BARBARA;4. Transporte (Sem Topologia)
18520281;SESD GETULANDIA;1. Distribuição (Carga)
18521253;SESD ATAULFO DE PAIVA;1. Distribuição (Carga)
326499107;SESD VILA ISABEL;1. Distribuição (Carga)
551027550;SETD FABRICA DE VIDROS;4. Transporte (Sem Topologia)
18520434;SESD RIO CLARO;1. Distribuição (Carga)
279436352;SETR  BONFIM;3. Transporte (Com Topologia)
18520578;SESD JAPERI;1. Distribuição (Carga)
335893881;SESD ILHA DE PAQUETA;1. Distribuição (Carga)
18521055;SETD COELHO DA ROCHA;1. Distribuição (Carga)
18520290;SESD MONTANHES;1. Distribuição (Carga)
10385916;SETD PORTA D'AGUA;1. Distribuição (Carga)
18521262;SESD COTRIL;1. Distribuição (Carga)
18520587;SESD MOURA BRASIL;1. Distribuição (Carga)
18521064;SETD FONTINELE;1. Distribuição (Carga)
345834478;SETD BARRA 2;1. Distribuição (Carga)
18520596;SESD WERNECK;1. Distribuição (Carga)
280191046;SETD CINTRA;4. Transporte (Sem Topologia)
18520443;SESD PATY DO ALFERES;1. Distribuição (Carga)
