ID;NOME;CLASSIFICACAO;POT_UNTRD;POT_UNTRS
612835386;SETD FLORIANO PEIXOTO;4. Transporte (Sem Topologia);0.0;0.0
18520227;SESD AUSTIN;1a. Distribuição (Carga Real > 0);28585.0;0.0
18520848;SESD CARMO;1a. Distribuição (Carga Real > 0);31787.5;0.0
277466383;SETD NILO PECANHA;4. Transporte (Sem Topologia);0.0;0.0
660138488;SESD SANTA CRUZ;1a. Distribuição (Carga Real > 0);27112.5;0.0
18520236;SESD BELVEDERE;1a. Distribuição (Carga Real > 0);5927.5;0.0
18520380;SESD PINHEIRAL;1a. Distribuição (Carga Real > 0);31575.0;0.0
277466392;SETD PEREIRA PASSOS;4. Transporte (Sem Topologia);0.0;0.0
18520389;SESD PARAPEUNA;1a. Distribuição (Carga Real > 0);10947.5;0.0
18520983;SESD QUATIS;1a. Distribuição (Carga Real > 0);22905.0;0.0
18520866;SESD FLORIANO;1a. Distribuição (Carga Real > 0);9065.0;0.0
18520245;SESD PARAISO;1a. Distribuição (Carga Real > 0);26000.0;0.0
18520398;SETD SAUDADE;2a. Transformadora (Potência > 0);0.0;37.5
18520992;SESD LIDICE;1a. Distribuição (Carga Real > 0);9072.5;0.0
18520875;SETD RETIRO;1a. Distribuição (Carga Real > 0);102795.0;60.0
18520254;SESD QUIMICA;1a. Distribuição (Carga Real > 0);34927.5;0.0
18520416;SESD FERREIROS;1a. Distribuição (Carga Real > 0);8442.5;0.0
18521010;SESD PONTE COBERTA;1a. Distribuição (Carga Real > 0);10065.0;0.0
18520884;SESD BARAO DE JUPARANA;1a. Distribuição (Carga Real > 0);8500.0;0.0
18520272;SESD IPIABAS;1a. Distribuição (Carga Real > 0);15207.5;0.0
10385898;SETD TROVAO;1a. Distribuição (Carga Real > 0);166060.0;60.0
278601339;SETD AUGUSTO VASCONCELOS;4. Transporte (Sem Topologia);0.0;0.0
18520893;SETD QUEIMADOS;2a. Transformadora (Potência > 0);0.0;115.773
18521208;SETD BRISAMAR;2a. Transformadora (Potência > 0);0.0;36.8
18521019;SESD APARECIDA;1a. Distribuição (Carga Real > 0);29537.5;0.0
133869814;SE RESERVA TECNICA;2a. Transformadora (Potência > 0);0.0;763.3
18521217;SESD ASSIS RIBEIRO;1a. Distribuição (Carga Real > 0);38047.5;0.0
18520425;SESD TABOAS;1a. Distribuição (Carga Real > 0);10352.5;0.0
18521046;SESD SERRARIA;1a. Distribuição (Carga Real > 0);15265.0;0.0
18520902;SETD MENA BARRETO;1a. Distribuição (Carga Real > 0);266962.5;120.0
10385907;SETD BARRA;1a. Distribuição (Carga Real > 0);244132.5;120.0
18521226;SESD UNISOL;1a. Distribuição (Carga Real > 0);25087.5;0.0
319319016;SESD SAO LOURENCO;1a. Distribuição (Carga Real > 0);12487.5;0.0
18521244;SESD PARACAMBI;1a. Distribuição (Carga Real > 0);35735.0;0.0
278601365;SETD LAMEIRAO;4. Transporte (Sem Topologia);0.0;0.0
50995643;SESD FRANCISCO MEDEIROS;3. Transporte (Com Topologia);0.0;0.0
51051566;SETD ILHA DOS POMBOS;3. Transporte (Com Topologia);0.0;0.0
18521145;SESD LAGES;1a. Distribuição (Carga Real > 0);30710.0;0.0
55813421;SETD LEBLON;1a. Distribuição (Carga Real > 0);169110.0;120.0
18521154;SETD SEROPÉDICA;1a. Distribuição (Carga Real > 0);30.0;73.5
109363914;SESD LEVY;1a. Distribuição (Carga Real > 0);18437.5;0.0
18521163;SESD AIMORES;1a. Distribuição (Carga Real > 0);28695.0;0.0
132097219;SETD RECREIO;1a. Distribuição (Carga Real > 0);255657.5;120.0
134595522;SESD TUIUTI;1a. Distribuição (Carga Real > 0);24285.0;0.0
18521172;SESD PIRANEMA;1a. Distribuição (Carga Real > 0);35062.5;0.0
310124342;SETD FIO CRUZ;4. Transporte (Sem Topologia);0.0;0.0
18521181;SESD COLONIAL;1a. Distribuição (Carga Real > 0);34720.0;0.0
310124393;SETR PAC ALEMAO;4. Transporte (Sem Topologia);0.0;0.0
310125045;SETD OWENS ILLINOIS;4. Transporte (Sem Topologia);0.0;0.0
