DISTRIBUIDORA;SUB_LOCAL;SUB_ONS;PAC;BARRA;METODO
ENEL;Angra-Furnas;ITUTINGA;PAC_ANG138;138;PAC
ENEL;Palmital;ITUTINGA;FIC_CESP138;138;PAC
ENEL;Chave do Vaz;ITUTINGA;FIC_CHV138;138;PAC
ENEL;Conquista;ITUTINGA;FIC_CQT138;138;PAC
ENEL;Gradim;ITUTINGA;FIC_GRD138;138;PAC
ENEL;FURNAS CENTRAIS ELETRICAS-UTE R SILVEIRA;ITUTINGA;PAC_UTEC138;138;PAC
ENEL;VOLKSWAGEN;ITUTINGA;PAC_VWG138;138;PAC
ENEL;Acu;NOVA IGUACU;N/A;N/A;NOME
ENEL;Adrianopolis;ADRIANOPOLIS;N/A;N/A;NOME
ENEL;Campos Eliseos;CAMPOS;N/A;N/A;NOME
ENEL;PETROBRAS - COMPERJ;COMPERJ;N/A;N/A;NOME
ENEL;Usina de Campos;CAMPOS;N/A;N/A;NOME
ENEL;Distribuidora de Campos;CAMPOS;N/A;N/A;NOME
ENEL;UTE GNA I;UTE GNA II;N/A;N/A;NOME
ENEL;UTE GNA I;UTE GNA I;N/A;N/A;NOME
ENEL;INDUSTRIAS NUCLEARES DO BRASIL S/A (RESENDE);RESENDE;N/A;N/A;NOME
ENEL;Inga;ITUTINGA;N/A;N/A;NOME
ENEL;Macae;MACAE MERCHAN;N/A;N/A;NOME
ENEL;Macae;UT TERMOMACAE;N/A;N/A;NOME
ENEL;Polo Industrial Resende;RESENDE;N/A;N/A;NOME
ENEL;Resende;RESENDE;N/A;N/A;NOME
ENEL;Sao Jose;SAO JOSE;N/A;N/A;NOME
ENEL;Entroncamento Lagos;LAGOS;N/A;N/A;NOME
