ID;NOME;VIZINHOS_AT;QTD_VIZINHOS
18520875;SETD RETIRO;EXTERNO:AT_5282, EXTERNO:AT_5277;2
10385898;SETD TROVAO;EXTERNO:AT_6124, EXTERNO:AT_6120, EXTERNO:AT_6109, EXTERNO:AT_6115;4
18520902;SETD MENA BARRETO;EXTERNO:AT_6843, EXTERNO:AT_6845, EXTERNO:AT_6846;3
10385907;SETD BARRA;EXTERNO:AT_5366, EXTERNO:AT_5367, EXTERNO:AT_5362;3
55813421;SETD LEBLON;EXTERNO:AT_6673, EXTERNO:AT_6671, EXTERNO:AT_6676, EXTERNO:AT_7752, EXTERNO:AT_6698, EXTERNO:AT_6677, EXTERNO:AT_6678, EXTERNO:AT_6675, EXTERNO:AT_6672;9
18521154;SETD SEROPÉDICA;EXTERNO:AT_6774, EXTERNO:AT_6773;2
132097219;SETD RECREIO;EXTERNO:AT_4913, EXTERNO:AT_4922, EXTERNO:AT_4926;3
310129856;SETD ITAGUAI;EXTERNO:AT_8676, EXTERNO:AT_8699, EXTERNO:AT_8684, EXTERNO:AT_8677, EXTERNO:AT_8685, EXTERNO:AT_8692, EXTERNO:AT_8682;7
310718139;SETD SÃO JOÃO;EXTERNO:AT_8742, EXTERNO:AT_8746, EXTERNO:AT_728, EXTERNO:AT_8730, EXTERNO:AT_8737, EXTERNO:AT_726, EXTERNO:AT_8735, EXTERNO:AT_8744;8
1249;SETD COLEGIO;EXTERNO:AT_7259, EXTERNO:AT_7253, EXTERNO:AT_7251;3
1258;SETD GUADALUPE;EXTERNO:AT_8142, EXTERNO:AT_8125, EXTERNO:AT_8144, EXTERNO:AT_8130;4
1267;SETD VIGARIO GERAL;EXTERNO:AT_4606, EXTERNO:AT_4624, EXTERNO:AT_4626, EXTERNO:AT_4622;4
18521055;SETD COELHO DA ROCHA;EXTERNO:AT_7070, EXTERNO:AT_7069, EXTERNO:AT_7068;3
10385916;SETD PORTA D'AGUA;EXTERNO:AT_8704, EXTERNO:AT_9634, EXTERNO:AT_8716, EXTERNO:AT_8720, EXTERNO:AT_8724, EXTERNO:AT_8709, EXTERNO:AT_8721, EXTERNO:AT_8715, EXTERNO:AT_8701, EXTERNO:AT_8710;10
18521064;SETD FONTINELE;EXTERNO:AT_5339, EXTERNO:AT_5345, EXTERNO:AT_5341;3
345834478;SETD BARRA 2;EXTERNO:AT_8820, EXTERNO:AT_9351, EXTERNO:AT_8813, EXTERNO:AT_8815, EXTERNO:AT_8832;5
10386033;SETD LEOPOLDO;EXTERNO:AT_6076, EXTERNO:AT_6080;2
10386087;SETD POSTO SEIS;EXTERNO:AT_6017, EXTERNO:AT_6048, EXTERNO:AT_5983, EXTERNO:AT_6065, EXTERNO:AT_6059, EXTERNO:AT_6022, EXTERNO:AT_5990, EXTERNO:AT_6060, EXTERNO:AT_6067, EXTERNO:AT_6042, EXTERNO:AT_6066, EXTERNO:AT_6035, EXTERNO:AT_6007, EXTERNO:AT_6029, EXTERNO:AT_5996, EXTERNO:AT_6009;16
1276;SETD MATURACA;EXTERNO:AT_7594, EXTERNO:AT_7596, EXTERNO:AT_7600;3
10386096;SETD HUMAITÁ;EXTERNO:AT_7301, EXTERNO:AT_7343, EXTERNO:AT_7310, EXTERNO:AT_7332, EXTERNO:AT_7328, EXTERNO:AT_7330, EXTERNO:AT_7364, EXTERNO:AT_7363, EXTERNO:AT_7309, EXTERNO:AT_7319, EXTERNO:AT_7331, EXTERNO:AT_7320, EXTERNO:AT_7329, EXTERNO:AT_7339, EXTERNO:AT_7352, EXTERNO:AT_7355, EXTERNO:AT_7347;17
1285;SETD AGUA GRANDE;EXTERNO:AT_7281, EXTERNO:AT_7277, EXTERNO:AT_7275;3
10386042;SETD CURICICA;EXTERNO:AT_5890, EXTERNO:AT_5878, EXTERNO:AT_5875;3
18520731;SETD AREIA BRANCA;EXTERNO:AT_7040, EXTERNO:AT_7063, EXTERNO:AT_7052;3
10386105;SETD FREI CANECA;EXTERNO:AT_6473, EXTERNO:AT_3974, EXTERNO:AT_6501, EXTERNO:AT_3935, EXTERNO:AT_3929, EXTERNO:AT_3878, EXTERNO:AT_6415, EXTERNO:AT_4371, EXTERNO:AT_6472, EXTERNO:AT_6409, EXTERNO:AT_6519, EXTERNO:AT_6406, EXTERNO:AT_3971, EXTERNO:AT_6460, EXTERNO:AT_3899, EXTERNO:AT_6502, EXTERNO:AT_3936, EXTERNO:AT_6393, EXTERNO:AT_6423, EXTERNO:AT_6518, EXTERNO:AT_3917, EXTERNO:AT_6414, EXTERNO:AT_3948, EXTERNO:AT_3955, EXTERNO:AT_6422, EXTERNO:AT_3879, EXTERNO:AT_6480, EXTERNO:AT_6436, EXTERNO:AT_3972, EXTERNO:AT_3898, EXTERNO:AT_3956, EXTERNO:AT_6456, EXTERNO:AT_6498, EXTERNO:AT_3973, EXTERNO:AT_6450, EXTERNO:AT_6479, EXTERNO:AT_6437, EXTERNO:AT_3928, EXTERNO:AT_6494, EXTERNO:AT_6405, EXTERNO:AT_6520, EXTERNO:AT_3900, EXTERNO:AT_6416, EXTERNO:AT_3916, EXTERNO:AT_3892, EXTERNO:AT_3920, EXTERNO:AT_3954, EXTERNO:AT_6392, EXTERNO:AT_6459;49
1294;SETD TURIACU;EXTERNO:AT_8062, EXTERNO:AT_8070, EXTERNO:AT_8066;3
10386114;SETD MACKENZIE;EXTERNO:AT_7911, EXTERNO:AT_7923, EXTERNO:AT_7916, EXTERNO:AT_7928, EXTERNO:AT_7920, EXTERNO:AT_7912, EXTERNO:AT_7917;7
18520794;SETD VILAR DOS TELES;EXTERNO:AT_6988, EXTERNO:AT_6989, EXTERNO:AT_6993;3
152677490;SETD COPACABANA;EXTERNO:AT_5936, EXTERNO:AT_5965, EXTERNO:AT_5940, EXTERNO:AT_5969, EXTERNO:AT_5943, EXTERNO:AT_5942, EXTERNO:AT_5928, EXTERNO:AT_5955, EXTERNO:AT_5964, EXTERNO:AT_5951;10
1303;SETD PAVUNA;EXTERNO:AT_6729, EXTERNO:AT_6725, EXTERNO:AT_6723;3
18519958;SETD ESPERANÇA;EXTERNO:AT_5318, EXTERNO:AT_5317, EXTERNO:AT_5319, EXTERNO:AT_5320, EXTERNO:AT_5314, EXTERNO:AT_5322, EXTERNO:AT_5315;7
224567922;SETD MARAPICU;EXTERNO:AT_6751;1
1312;SETD MERITI;EXTERNO:AT_4680, EXTERNO:AT_4674, EXTERNO:AT_4687, EXTERNO:AT_4655, EXTERNO:AT_4663, EXTERNO:AT_4683, EXTERNO:AT_4684, EXTERNO:AT_4689, EXTERNO:AT_4685, EXTERNO:AT_4677, EXTERNO:AT_4664;11
10386051;SETD CAMPO MARTE;EXTERNO:AT_4286, EXTERNO:AT_4326, EXTERNO:AT_4292, EXTERNO:AT_4335, EXTERNO:AT_4307, EXTERNO:AT_4319, EXTERNO:AT_4357, EXTERNO:AT_4350, EXTERNO:AT_4311, EXTERNO:AT_4343, EXTERNO:AT_4296, EXTERNO:AT_4342, EXTERNO:AT_4351, EXTERNO:AT_4336, EXTERNO:AT_4301, EXTERNO:AT_4295, EXTERNO:AT_4327, EXTERNO:AT_4358, EXTERNO:AT_4310, EXTERNO:AT_4320;20
18520803;SETD SARAPUI;EXTERNO:AT_4629, EXTERNO:AT_4628, EXTERNO:AT_4632;3
10385871;SETD TAQUARA;EXTERNO:AT_8836, EXTERNO:AT_5820, EXTERNO:AT_5818;3
1123;SETD TERRA NOVA;EXTERNO:AT_8056, EXTERNO:AT_8058, EXTERNO:AT_8060;3
18519976;SETD NOVA IGUACU;EXTERNO:AT_7108, EXTERNO:AT_7107, EXTERNO:AT_7101, EXTERNO:AT_7102, EXTERNO:AT_7105, EXTERNO:AT_7110;6
18520749;SETD JABOATAO;EXTERNO:AT_5105, EXTERNO:AT_5097, EXTERNO:AT_5094, EXTERNO:AT_5100, EXTERNO:AT_5104, EXTERNO:AT_5096, EXTERNO:AT_5112;7
18519985;SETD ROSALI;EXTERNO:AT_7015, EXTERNO:AT_7014, EXTERNO:AT_7016;3
10385880;SETD JARDIM BOTANICO;EXTERNO:AT_7778, EXTERNO:AT_7804, EXTERNO:AT_7822, EXTERNO:AT_7773, EXTERNO:AT_7835, EXTERNO:AT_7823, EXTERNO:AT_7792, EXTERNO:AT_7909, EXTERNO:AT_7834, EXTERNO:AT_7811, EXTERNO:AT_7828, EXTERNO:AT_7816, EXTERNO:AT_7799, EXTERNO:AT_7817, EXTERNO:AT_7781, EXTERNO:AT_7765, EXTERNO:AT_7770, EXTERNO:AT_7787, EXTERNO:AT_7829;19
18520758;SETD CACHAMORRA;EXTERNO:AT_5906, EXTERNO:AT_5924, EXTERNO:AT_5917, EXTERNO:AT_5912;4
18519994;SETD WASHINGTON LUIS;EXTERNO:AT_4269, EXTERNO:AT_4260, EXTERNO:AT_4262;3
10385889;SETD ALDEIA CAMPISTA;EXTERNO:AT_6703, EXTERNO:AT_8801, EXTERNO:AT_8802;3
18520785;SETD CAXIAS;EXTERNO:AT_3861, EXTERNO:AT_3852, EXTERNO:AT_3858, EXTERNO:AT_3848, EXTERNO:AT_3868, EXTERNO:AT_3851, EXTERNO:AT_3855;7
18520821;SETD COMENDADOR SOARES;EXTERNO:AT_6797;1
1132;SETD RAMOS;EXTERNO:AT_7964, EXTERNO:AT_7960, EXTERNO:AT_7968;3
18520839;SETD COSMOS;EXTERNO:AT_5122, EXTERNO:AT_5136, EXTERNO:AT_5132;3
280389625;SETD CARMARI;EXTERNO:AT_6140, EXTERNO:AT_6158, EXTERNO:AT_6149;3
1195;SETD BOCA DO MATO;EXTERNO:AT_7204, EXTERNO:AT_7199, EXTERNO:AT_7193;3
1204;SETD TRIAGEM;EXTERNO:AT_4791, EXTERNO:AT_4756, EXTERNO:AT_4755, EXTERNO:AT_4765, EXTERNO:AT_4799, EXTERNO:AT_4764, EXTERNO:AT_4834, EXTERNO:AT_4800, EXTERNO:AT_4810, EXTERNO:AT_4850, EXTERNO:AT_4782, EXTERNO:AT_4819, EXTERNO:AT_4792, EXTERNO:AT_5064, EXTERNO:AT_4827, EXTERNO:AT_4748, EXTERNO:AT_4829, EXTERNO:AT_4820, EXTERNO:AT_4809, EXTERNO:AT_4757, EXTERNO:AT_4843, EXTERNO:AT_4740, EXTERNO:AT_4747, EXTERNO:AT_4842, EXTERNO:AT_4772, EXTERNO:AT_4835, EXTERNO:AT_4779;27
1213;SETD GOVERNADOR;EXTERNO:AT_6384, EXTERNO:AT_6380, EXTERNO:AT_6375, EXTERNO:AT_6388;4
1222;SETD FUNDAO;EXTERNO:AT_6345, EXTERNO:AT_8842, EXTERNO:AT_6343, EXTERNO:AT_9112, EXTERNO:AT_6349;5
25987899;SESD VERIDIANA;;0
1231;SETD PIEDADE;EXTERNO:AT_7176, EXTERNO:AT_7170, EXTERNO:AT_7175;3
1240;SETD PEDRO ERNESTO;EXTERNO:AT_3733, EXTERNO:AT_3767, EXTERNO:AT_4215, EXTERNO:AT_3760, EXTERNO:AT_4217, EXTERNO:AT_3745, EXTERNO:AT_4216, EXTERNO:AT_3761, EXTERNO:AT_4214, EXTERNO:AT_3732, EXTERNO:AT_3765, EXTERNO:AT_3721, EXTERNO:AT_4237, EXTERNO:AT_3755, EXTERNO:AT_4236, EXTERNO:AT_3754, EXTERNO:AT_3720, EXTERNO:AT_3740;18
34192093;SETD SANTA CLARA;EXTERNO:AT_9009;1
18520326;SETD TRES RIOS;EXTERNO:AT_5551, EXTERNO:AT_5548, EXTERNO:AT_5547, EXTERNO:AT_5543, EXTERNO:AT_9357, EXTERNO:AT_5538;6
1141;SETD CACHAMBI;EXTERNO:AT_7147, EXTERNO:AT_7146, EXTERNO:AT_7148;3
1150;SETD GUANABARA;EXTERNO:AT_6665, EXTERNO:AT_6630, EXTERNO:AT_6633, EXTERNO:AT_6631, EXTERNO:AT_6664, EXTERNO:AT_6646, EXTERNO:AT_6632, EXTERNO:AT_6645, EXTERNO:AT_6818, EXTERNO:AT_6612, EXTERNO:AT_6620, EXTERNO:AT_6658, EXTERNO:AT_6603, EXTERNO:AT_6629;14
1159;SETD BRAS DE PINA;EXTERNO:AT_3808, EXTERNO:AT_4169, EXTERNO:AT_4178, EXTERNO:AT_9333, EXTERNO:AT_3828, EXTERNO:AT_4177, EXTERNO:AT_3799, EXTERNO:AT_9323, EXTERNO:AT_3818, EXTERNO:AT_4149, EXTERNO:AT_4168, EXTERNO:AT_9334, EXTERNO:AT_4196, EXTERNO:AT_4197, EXTERNO:AT_4187, EXTERNO:AT_4203, EXTERNO:AT_3827, EXTERNO:AT_3817, EXTERNO:AT_3807, EXTERNO:AT_4150, EXTERNO:AT_4160, EXTERNO:AT_4159, EXTERNO:AT_4188, EXTERNO:AT_9322;24
1168;SETD DEMOCRATICOS;EXTERNO:AT_7232, EXTERNO:AT_7225, EXTERNO:AT_7226;3
1177;SETD VILA VALQUEIRE;EXTERNO:AT_5576, EXTERNO:AT_5566, EXTERNO:AT_5563;3
1186;SETD CASCADURA;EXTERNO:AT_4407, EXTERNO:AT_7510, EXTERNO:AT_4384, EXTERNO:AT_7529, EXTERNO:AT_4418, EXTERNO:AT_7470, EXTERNO:AT_7557, EXTERNO:AT_4484, EXTERNO:AT_4450, EXTERNO:AT_9121, EXTERNO:AT_4428, EXTERNO:AT_7558, EXTERNO:AT_7501, EXTERNO:AT_7520, EXTERNO:AT_4483, EXTERNO:AT_7502, EXTERNO:AT_9341, EXTERNO:AT_4494, EXTERNO:AT_7461, EXTERNO:AT_4396, EXTERNO:AT_4472, EXTERNO:AT_4395, EXTERNO:AT_4462, EXTERNO:AT_7592, EXTERNO:AT_4374, EXTERNO:AT_4451, EXTERNO:AT_7538, EXTERNO:AT_7559, EXTERNO:AT_7546, EXTERNO:AT_7483, EXTERNO:AT_4473, EXTERNO:AT_7560, EXTERNO:AT_7509, EXTERNO:AT_4461, EXTERNO:AT_7584, EXTERNO:AT_7578, EXTERNO:AT_7491, EXTERNO:AT_7577, EXTERNO:AT_7539, EXTERNO:AT_4385, EXTERNO:AT_4440, EXTERNO:AT_7492, EXTERNO:AT_7482, EXTERNO:AT_4417, EXTERNO:AT_7521, EXTERNO:AT_4406, EXTERNO:AT_7469, EXTERNO:AT_7547, EXTERNO:AT_7571, EXTERNO:AT_7528, EXTERNO:AT_4439, EXTERNO:AT_4429, EXTERNO:AT_7583, EXTERNO:AT_7570;54
10385925;SETD LEME;EXTERNO:AT_4563;1
18520911;SETD ZONA INDUSTRIAL;EXTERNO:AT_9563, EXTERNO:AT_9352, EXTERNO:AT_4872, EXTERNO:AT_9572, EXTERNO:AT_9528, EXTERNO:AT_9555, EXTERNO:AT_9573, EXTERNO:AT_9491, EXTERNO:AT_9521, EXTERNO:AT_4862, EXTERNO:AT_4890, EXTERNO:AT_9483, EXTERNO:AT_9541, EXTERNO:AT_9523, EXTERNO:AT_4880, EXTERNO:AT_4895, EXTERNO:AT_9505, EXTERNO:AT_9540, EXTERNO:AT_9513, EXTERNO:AT_9564, EXTERNO:AT_9492, EXTERNO:AT_4854, EXTERNO:AT_9497, EXTERNO:AT_4868, EXTERNO:AT_4886, EXTERNO:AT_9567, EXTERNO:AT_9508, EXTERNO:AT_4881, EXTERNO:AT_9493, EXTERNO:AT_9484, EXTERNO:AT_4863, EXTERNO:AT_9529, EXTERNO:AT_9535;33
10385934;SETD BOTAFOGO;EXTERNO:AT_7735, EXTERNO:AT_7729, EXTERNO:AT_7702, EXTERNO:AT_7733, EXTERNO:AT_7664, EXTERNO:AT_7745, EXTERNO:AT_7736, EXTERNO:AT_7672, EXTERNO:AT_7711, EXTERNO:AT_7746, EXTERNO:AT_7695, EXTERNO:AT_7686, EXTERNO:AT_7654, EXTERNO:AT_7655, EXTERNO:AT_7704, EXTERNO:AT_7696, EXTERNO:AT_7663, EXTERNO:AT_7747;18
10385943;SETD ALVORADA;EXTERNO:AT_6913, EXTERNO:AT_6911, EXTERNO:AT_6976, EXTERNO:AT_6917, EXTERNO:AT_6947, EXTERNO:AT_6912, EXTERNO:AT_6937, EXTERNO:AT_6960, EXTERNO:AT_6948, EXTERNO:AT_6949, EXTERNO:AT_6926, EXTERNO:AT_6925;12
10385961;SETD BAEPENDI;EXTERNO:AT_7871, EXTERNO:AT_7859, EXTERNO:AT_7851, EXTERNO:AT_8025, EXTERNO:AT_8022, EXTERNO:AT_8032, EXTERNO:AT_8007, EXTERNO:AT_7852, EXTERNO:AT_7865, EXTERNO:AT_8003, EXTERNO:AT_7901, EXTERNO:AT_7899, EXTERNO:AT_8002, EXTERNO:AT_7857, EXTERNO:AT_7900, EXTERNO:AT_7864, EXTERNO:AT_7872, EXTERNO:AT_7878, EXTERNO:AT_7858, EXTERNO:AT_7898, EXTERNO:AT_8001;21
18520461;SETD ARI FRANCO;EXTERNO:AT_5867, EXTERNO:AT_5869, EXTERNO:AT_5843, EXTERNO:AT_5844, EXTERNO:AT_5853, EXTERNO:AT_5850, EXTERNO:AT_5847;7
10385970;SETD SANTO ANTONIO;EXTERNO:AT_8091, EXTERNO:AT_8100, EXTERNO:AT_8102, EXTERNO:AT_8515, EXTERNO:AT_8462, EXTERNO:AT_8090, EXTERNO:AT_8113, EXTERNO:AT_8402, EXTERNO:AT_8419, EXTERNO:AT_8480, EXTERNO:AT_8521, EXTERNO:AT_8112, EXTERNO:AT_8460, EXTERNO:AT_8431, EXTERNO:AT_8401, EXTERNO:AT_8473, EXTERNO:AT_8468, EXTERNO:AT_8501, EXTERNO:AT_8463, EXTERNO:AT_8424, EXTERNO:AT_8413, EXTERNO:AT_8487, EXTERNO:AT_8514, EXTERNO:AT_8408, EXTERNO:AT_8435, EXTERNO:AT_8442, EXTERNO:AT_8449, EXTERNO:AT_8500;28
10385979;SETD URUGUAI;EXTERNO:AT_6105, EXTERNO:AT_6095, EXTERNO:AT_6106, EXTERNO:AT_6096, EXTERNO:AT_6097, EXTERNO:AT_6101;6
10385988;SETD ITAPEBA;EXTERNO:AT_5157, EXTERNO:AT_5156, EXTERNO:AT_5176, EXTERNO:AT_5187, EXTERNO:AT_5168, EXTERNO:AT_5196, EXTERNO:AT_5186, EXTERNO:AT_5167, EXTERNO:AT_5148, EXTERNO:AT_5177;10
450101398;SETD PACIENCIA;EXTERNO:AT_9675, EXTERNO:AT_9087, EXTERNO:AT_9064, EXTERNO:AT_9050, EXTERNO:AT_9053, EXTERNO:AT_9067, EXTERNO:AT_9068, EXTERNO:AT_9092, EXTERNO:AT_9074, EXTERNO:AT_9676, EXTERNO:AT_9043, EXTERNO:AT_9677, EXTERNO:AT_9056, EXTERNO:AT_9055, EXTERNO:AT_9066, EXTERNO:AT_9069, EXTERNO:AT_9083;17
